Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
3606.HK,FUYAO GLASS,Consumer Discretionary,HKG,HKD,39.2,121.23344896
3669.HK,YONGDA AUTO,Consumer Discretionary,HKG,HKD,8.78,17.272629248
3813.HK,POU SHENG INT'L,Consumer Discretionary,HKG,HKD,0.81,4.314205696
3818.HK,CHINA DONGXIANG,Consumer Discretionary,HKG,HKD,0.42,2.472775168
3918.HK,NAGACORP,Consumer Discretionary,HKG,HKD,6.65,28.86771712
3998.HK,BOSIDENG,Consumer Discretionary,HKG,HKD,4.17,45.383364608
6100.HK,TONGDAO LIEPIN,Consumer Discretionary,HKG,HKD,11.8,6.306439168
6110.HK,TOPSPORTS,Consumer Discretionary,HKG,HKD,5.81,36.029087744
6169.HK,YUHUA EDU,Consumer Discretionary,HKG,HKD,1.03,3.702324736
6601.HK,CHEERWIN GP,Consumer Discretionary,HKG,HKD,2.4,3.19999232
6690.HK,HAIER SMARTHOME,Consumer Discretionary,HKG,HKD,27.35,265.607348224
6862.HK,HAIDILAO,Consumer Discretionary,HKG,HKD,14.82,82.606678016
6969.HK,SMOORE INTL,Consumer Discretionary,HKG,HKD,18.86,113.13057792
6988.HK,JOY SPREADER,Consumer Discretionary,HKG,HKD,3.36,7.324564992
6993.HK,BLUE MOON GROUP,Consumer Discretionary,HKG,HKD,6.11,35.808264192
9868.HK,XPENG-W,Consumer Discretionary,HKG,HKD,91.5,155.786985472
9869.HK,HELENS,Consumer Discretionary,HKG,HKD,13.7,16.703725568
9899.HK,CLOUD VILLAGE,Consumer Discretionary,HKG,HKD,73.95,15.363629056
9901.HK,NEW ORIENTAL-S,Consumer Discretionary,HKG,HKD,10.1,17.139397632
9922.HK,JIUMAOJIU,Consumer Discretionary,HKG,HKD,17.86,25.957904384
9961.HK,TRIP.COM-S,Consumer Discretionary,HKG,HKD,171.3,109.93246208
9987.HK,YUM CHINA-S,Consumer Discretionary,HKG,HKD,359.6,151.546232832
9992.HK,POP MART,Consumer Discretionary,HKG,HKD,31.8,46.480150528
0142.HK,FIRST PACIFIC,Consumer Staples,HKG,HKD,3.56,15.206859776
0151.HK,WANT WANT CHINA,Consumer Staples,HKG,HKD,7.63,90.793181184
0168.HK,TSINGTAO BREW,Consumer Staples,HKG,HKD,67.55,119.124434944
0220.HK,U-PRESID CHINA,Consumer Staples,HKG,HKD,6.23,26.909425664
0288.HK,WH GROUP,Consumer Staples,HKG,HKD,6.13,78.649122816
0291.HK,CHINA RES BEER,Consumer Staples,HKG,HKD,48.35,156.84739072
