Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
CAT,Caterpillar,Industrials,NYQ,USD,217.57,116.04619264
CBOE,Cboe,Financials,BTS,USD,112.42,11.937767424
CBRE,CBRE,Real Estate,NYQ,USD,79.59,26.014865408
CDW,CDW,Information Technology,NMS,USD,171.21,23.133210624
CE,Celanese,Materials,NYQ,USD,155.22,16.811722752
CNC,Centene,Health Care,NYQ,USD,81.21,47.49867008
CNP,CenterPoint Energy,Utilities,NYQ,USD,32.06,20.180135936
CDAY,Ceridian,Information Technology,NYQ,USD,53.79,8.210774016
CERN,Cerner,Health Care,NMS,USD,94.69,27.848138752
CF,CF Industries,Materials,NYQ,USD,95.51,19.923576832
CRL,Charles River,Health Care,NYQ,USD,229.69,11.669378048
SCHW,Charles Schwab,Financials,NYQ,USD,69.57,131.929063424
CHTR,Charter Communications,Communication Services,NMS,USD,495.38,94.861795328
CVX,Chevron,Energy,NYQ,USD,176.32,346.435321856
CMG,Chipotle Mexican Grill,Consumer Discretionary,NYQ,USD,1374.72,38.44046848
CB,Chubb,Financials,NYQ,USD,208.64,88.40306688
CHD,Church & Dwight,Consumer Staples,NYQ,USD,88.37,21.453674496
CI,Cigna,Health Care,NYQ,USD,264.58,83.944087552
CINF,Cincinnati Financial,Financials,NMS,USD,126.11,20.222369792
CTAS,Cintas,Industrials,NMS,USD,390.8,39.988609024
CSCO,Cisco,Information Technology,NMS,USD,45.23,187.295612928
C,Citigroup,Financials,NYQ,USD,52.39,101.73718528
CFG,Citizens,Financials,NYQ,USD,40.04,19.837659136
CTXS,Citrix,Information Technology,NMS,USD,100.84,12.764326912
CLX,Clorox,Consumer Staples,NYQ,USD,140.7,17.31735552
CME,CME Group,Financials,NMS,USD,199.37,71.65775872
CMS,CMS Energy,Utilities,NYQ,USD,70.83,20.5498368
KO,Coca-Cola,Consumer Staples,NYQ,USD,63.07,273.410326528
CTSH,Cognizant,Information Technology,NMS,USD,74.18,38.66068992
CL,Colgate-Palmolive,Consumer Staples,NYQ,USD,78.2,65.527062528
CMCSA,Comcast,Communication Services,NMS,USD,43.93,196.806852608
CMA,Comerica,Financials,NYQ,USD,80.77,10.5614848
CAG,Conagra Brands,Consumer Staples,NYQ,USD,32.52,15.605535744
COP,ConocoPhillips,Energy,NYQ,USD,115.75,149.71682816
ED,Con Edison,Utilities,NYQ,USD,98.63,34.944114688
STZ,Constellation Brands,Consumer Staples,NYQ,USD,244.18,46.705283072
CEG,Constellation Energy,Utilities,NMS,USD,63.65,20.794392576
COO,CooperCompanies,Health Care,NYQ,USD,343.21,16.92080128
CPRT,Copart,Industrials,NMS,USD,112.91,26.835658752
GLW,Corning,Information Technology,NYQ,USD,35.44,29.933047808
CTVA,Corteva,Materials,NYQ,USD,62.33,45.108219904
COST,Costco,Consumer Staples,NMS,USD,456.99,202.459807744
CTRA,Coterra,Energy,NYQ,USD,35.19,28.356276224
CCI,Crown Castle,Real Estate,NYQ,USD,188.09,81.448984576
CSX,CSX,Industrials,NMS,USD,32.0,70.975356928
CMI,Cummins,Industrials,NYQ,USD,207.85,29.729202176
CVS,CVS Health,Health Care,NYQ,USD,96.54,127.438594048
DHI,D.R. Horton,Consumer Discretionary,NYQ,USD,75.07,26.738507776
DHR,Danaher,Health Care,NYQ,USD,261.0,186.504609792
DRI,Darden,Consumer Discretionary,NYQ,USD,123.93,16.08425472
DVA,DaVita,Health Care,NYQ,USD,95.4,9.721260032
DE,Deere & Co.,Industrials,NYQ,USD,352.15,108.253372416
DAL,Delta Air Lines,Industrials,NYQ,USD,39.54,25.306155008
XRAY,Dentsply Sirona,Health Care,NMS,USD,39.04,8.53441792
DVN,Devon,Energy,NYQ,USD,76.48,51.77696256
DXCM,DexCom,Health Care,NMS,USD,283.85,27.511310336
FANG,Diamondback,Energy,NMS,USD,152.89,27.699847168
DLR,Digital Realty,Real Estate,NYQ,USD,137.44,39.00368896
DFS,Discover,Financials,NYQ,USD,111.2,32.590051328
DISH,Dish,Communication Services,NMS,USD,22.18,11.728828416
DIS,Disney,Communication Services,NYQ,USD,109.19,198.470303744
DG,Dollar General,Consumer Discretionary,NYQ,USD,218.82,50.701910016
DLTR,Dollar Tree,Consumer Discretionary,NMS,USD,161.01,36.220166144
D,Dominion Energy,Utilities,NYQ,USD,83.71,67.797393408
DPZ,Domino's,Consumer Discretionary,NYQ,USD,360.85,13.1206144
DOV,Dover,Industrials,NYQ,USD,132.78,19.118327808
DOW,Dow,Materials,NYQ,USD,68.11,50.375110656
DTE,DTE,Utilities,NYQ,USD,132.56,25.680451584
DUK,Duke Energy,Utilities,NYQ,USD,111.67,85.912526848
DRE,Duke Realty,Real Estate,NYQ,USD,52.64,20.04794368
DD,DuPont,Materials,NYQ,USD,67.42,34.930569216
DXC,DXC Technology,Information Technology,NYQ,USD,34.57,8.71990272
EMN,Eastman,Materials,NYQ,USD,109.64,14.740001792
ETN,Eaton,Industrials,NYQ,USD,137.72,54.895194112
EBAY,eBay,Consumer Discretionary,NMS,USD,46.97,29.403406336
ECL,Ecolab,Materials,NYQ,USD,162.87,46.673166336
EIX,Edison International,Utilities,NYQ,USD,69.73,26.490986496
EW,Edwards Lifesciences,Health Care,NYQ,USD,97.34,60.772671488
EA,Electronic Arts,Communication Services,NMS,USD,139.53,39.460200448
EMR,Emerson,Industrials,NYQ,USD,88.57,52.761059328
ENPH,Enphase,Information Technology,NGM,USD,182.49,24.620091392
ETR,Entergy,Utilities,NYQ,USD,120.18,24.153894912
EOG,EOG Resources,Energy,NYQ,USD,139.93,81.871634432
EPAM,EPAM,Information Technology,NYQ,USD,326.28,18.506471424
EFX,Equifax,Industrials,NYQ,USD,198.58,24.227158016
EQIX,Equinix,Real Estate,NMS,USD,679.0,61.137973248
EQR,Equity Residential,Real Estate,NYQ,USD,76.94,28.853731328
ESS,Essex,Real Estate,NYQ,USD,282.6,18.393812992
EL,Estée Lauder Companies,Consumer Staples,NYQ,USD,250.42,90.13792768
ETSY,Etsy,Consumer Discretionary,NMS,USD,80.94,10.261654528
RE,Everest,Financials,NYQ,USD,278.52,10.96505344
EVRG,Evergy,Utilities,NYQ,USD,70.01,16.165239808
ES,Eversource,Utilities,NYQ,USD,92.12,31.671410688
EXC,Exelon,Utilities,NMS,USD,49.19,48.123461632
EXPE,Expedia Group,Consumer Discretionary,NMS,USD,126.23,19.127379968
EXPD,Expeditors,Industrials,NMS,USD,107.84,18.268526592
EXR,Extra Space Storage,Real Estate,NYQ,USD,178.65,23.919804416
XOM,ExxonMobil,Energy,NYQ,USD,97.84,416.864894976
FFIV,F5,Information Technology,NMS,USD,161.89,9.91242752
FDS,FactSet,Financials,NYQ,USD,374.59,14.158452736
FAST,Fastenal,Industrials,NMS,USD,53.91,31.00703744
FRT,Federal Realty,Real Estate,NYQ,USD,113.68,8.8431104
FDX,FedEx,Industrials,NYQ,USD,218.67,57.940770816
FITB,Fifth Third Bank,Financials,NMS,USD,38.74,26.440282112
FRC,First Republic,Financials,NYQ,USD,153.63,27.543709696
FE,FirstEnergy,Utilities,NYQ,USD,42.56,24.26720256
FIS,FIS,Information Technology,NYQ,USD,103.22,62.854479872
FISV,Fiserv,Information Technology,NMS,USD,99.16,65.468608512
FLT,Fleetcor,Information Technology,NYQ,USD,242.72,19.708524544
FMC,FMC,Materials,NYQ,USD,121.71,15.426864128
F,Ford,Consumer Discretionary,NYQ,USD,13.55,54.149050368
FTNT,Fortinet,Information Technology,NMS,USD,289.06,47.261310976
FTV,Fortive,Industrials,NYQ,USD,61.37,22.005929984
FBHS,Fortune Brands,Industrials,NYQ,USD,68.45,9.290991616
FOXA,Fox Corporation (Class A),Communication Services,NMS,USD,34.86,19.20590848
FOX,Fox Corporation (Class B),Communication Services,NMS,USD,32.15,19.144812544
BEN,Franklin Templeton,Financials,NYQ,USD,26.56,13.327675392
FCX,Freeport-McMoRan,Materials,NYQ,USD,39.64,58.210152448
AJG,Gallagher,Financials,NYQ,USD,160.51,33.27019008
GRMN,Garmin,Consumer Discretionary,NYQ,USD,103.51,19.907250176
IT,Gartner,Information Technology,NYQ,USD,260.86,21.452863488
GE,GE,Industrials,NYQ,USD,77.52,85.127815168
GNRC,Generac,Industrials,NYQ,USD,243.86,15.385127936
GD,General Dynamics,Industrials,NYQ,USD,226.22,63.16582912
GIS,General Mills,Consumer Staples,NYQ,USD,69.12,41.693667328
GPC,Genuine Parts,Consumer Discretionary,NYQ,USD,135.82,19.343757312
GILD,Gilead,Health Care,NMS,USD,64.77,81.246191616
GL,Globe Life,Financials,NYQ,USD,97.32,9.827275776
