Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions),TargetPrice,As_of_Date
BSX,Boston Scientific,Health Care,NYQ,USD,39.92,57.068433408,,2022-06-03
BMY,Bristol Myers Squibb,Health Care,NYQ,USD,74.96,159.59433216,,2022-06-03
AVGO,Broadcom,Information Technology,NMS,USD,573.62,241.721737216,,2022-06-03
BR,Broadridge,Information Technology,NYQ,USD,144.73,16.966262784,,2022-06-03
BRO,Brown & Brown,Financials,NYQ,USD,58.01,16.374656,,2022-06-03
BF-B,Brown–Forman,Consumer Staples,NYQ,USD,65.51,30.876239872,,2022-06-03
CHRW,C.H. Robinson,Industrials,NMS,USD,108.94,13.864357888,,2022-06-03
CDNS,Cadence,Information Technology,NMS,USD,153.22,42.25179648,,2022-06-03
CZR,Caesars Entertainment,Consumer Discretionary,NMS,USD,49.56,10.62397952,,2022-06-03
CPT,Camden,Real Estate,NYQ,USD,143.56,15.29215488,,2022-06-03
CPB,Campbell's,Consumer Staples,NYQ,USD,47.0,14.180087808,,2022-06-03
COF,Capital One,Financials,NYQ,USD,124.96,49.115652096,,2022-06-03
CAH,Cardinal Health,Health Care,NYQ,USD,55.43,15.100628992,,2022-06-03
KMX,CarMax,Consumer Discretionary,NYQ,USD,98.46,15.770534912,,2022-06-03
CCL,Carnival,Consumer Discretionary,NYQ,USD,13.47,15.833042944,,2022-06-03
CARR,Carrier,Industrials,NYQ,USD,38.94,33.030541312,,2022-06-03
CTLT,Catalent,Health Care,NYQ,USD,104.48,18.724173824,,2022-06-03
CAT,Caterpillar,Industrials,NYQ,USD,217.57,116.04619264,,2022-06-03
CBOE,Cboe,Financials,BTS,USD,112.42,11.937767424,,2022-06-03
CBRE,CBRE,Real Estate,NYQ,USD,79.59,26.014865408,,2022-06-03
CDW,CDW,Information Technology,NMS,USD,171.21,23.133210624,,2022-06-03
CE,Celanese,Materials,NYQ,USD,155.22,16.811722752,,2022-06-03
CNC,Centene,Health Care,NYQ,USD,81.21,47.49867008,,2022-06-03
CNP,CenterPoint Energy,Utilities,NYQ,USD,32.06,20.180135936,,2022-06-03
CDAY,Ceridian,Information Technology,NYQ,USD,53.79,8.210774016,,2022-06-03
CERN,Cerner,Health Care,NMS,USD,94.69,27.848138752,,2022-06-03
CF,CF Industries,Materials,NYQ,USD,95.51,19.923576832,,2022-06-03
CRL,Charles River,Health Care,NYQ,USD,229.69,11.669378048,,2022-06-03
SCHW,Charles Schwab,Financials,NYQ,USD,69.57,131.929063424,,2022-06-03
CHTR,Charter Communications,Communication Services,NMS,USD,495.38,94.861795328,,2022-06-03
CVX,Chevron,Energy,NYQ,USD,176.32,346.435321856,,2022-06-03
CMG,Chipotle Mexican Grill,Consumer Discretionary,NYQ,USD,1374.72,38.44046848,,2022-06-03
CB,Chubb,Financials,NYQ,USD,208.64,88.40306688,,2022-06-03
CHD,Church & Dwight,Consumer Staples,NYQ,USD,88.37,21.453674496,,2022-06-03
CI,Cigna,Health Care,NYQ,USD,264.58,83.944087552,,2022-06-03
CINF,Cincinnati Financial,Financials,NMS,USD,126.11,20.222369792,,2022-06-03
CTAS,Cintas,Industrials,NMS,USD,390.8,39.988609024,,2022-06-03
CSCO,Cisco,Information Technology,NMS,USD,45.23,187.295612928,,2022-06-03
C,Citigroup,Financials,NYQ,USD,52.39,101.73718528,,2022-06-03
CFG,Citizens,Financials,NYQ,USD,40.04,19.837659136,,2022-06-03
CTXS,Citrix,Information Technology,NMS,USD,100.84,12.764326912,,2022-06-03
CLX,Clorox,Consumer Staples,NYQ,USD,140.7,17.31735552,,2022-06-03
CME,CME Group,Financials,NMS,USD,199.37,71.65775872,,2022-06-03
CMS,CMS Energy,Utilities,NYQ,USD,70.83,20.5498368,,2022-06-03
KO,Coca-Cola,Consumer Staples,NYQ,USD,63.07,273.410326528,,2022-06-03
CTSH,Cognizant,Information Technology,NMS,USD,74.18,38.66068992,,2022-06-03
CL,Colgate-Palmolive,Consumer Staples,NYQ,USD,78.2,65.527062528,,2022-06-03
CMCSA,Comcast,Communication Services,NMS,USD,43.93,196.806852608,,2022-06-03
CMA,Comerica,Financials,NYQ,USD,80.77,10.5614848,,2022-06-03
CAG,Conagra Brands,Consumer Staples,NYQ,USD,32.52,15.605535744,,2022-06-03
COP,ConocoPhillips,Energy,NYQ,USD,115.75,149.71682816,,2022-06-03
ED,Con Edison,Utilities,NYQ,USD,98.63,34.944114688,,2022-06-03
STZ,Constellation Brands,Consumer Staples,NYQ,USD,244.18,46.705283072,,2022-06-03
CEG,Constellation Energy,Utilities,NMS,USD,63.65,20.794392576,,2022-06-03
COO,CooperCompanies,Health Care,NYQ,USD,343.21,16.92080128,,2022-06-03
CPRT,Copart,Industrials,NMS,USD,112.91,26.835658752,,2022-06-03
GLW,Corning,Information Technology,NYQ,USD,35.44,29.933047808,,2022-06-03
CTVA,Corteva,Materials,NYQ,USD,62.33,45.108219904,,2022-06-03
COST,Costco,Consumer Staples,NMS,USD,456.99,202.459807744,,2022-06-03
CTRA,Coterra,Energy,NYQ,USD,35.19,28.356276224,,2022-06-03
CCI,Crown Castle,Real Estate,NYQ,USD,188.09,81.448984576,,2022-06-03
CSX,CSX,Industrials,NMS,USD,32.0,70.975356928,,2022-06-03
CMI,Cummins,Industrials,NYQ,USD,207.85,29.729202176,,2022-06-03
CVS,CVS Health,Health Care,NYQ,USD,96.54,127.438594048,,2022-06-03
DHI,D.R. Horton,Consumer Discretionary,NYQ,USD,75.07,26.738507776,,2022-06-03
DHR,Danaher,Health Care,NYQ,USD,261.0,186.504609792,,2022-06-03
DRI,Darden,Consumer Discretionary,NYQ,USD,123.93,16.08425472,,2022-06-03
DVA,DaVita,Health Care,NYQ,USD,95.4,9.721260032,,2022-06-03
DE,Deere & Co.,Industrials,NYQ,USD,352.15,108.253372416,,2022-06-03
DAL,Delta Air Lines,Industrials,NYQ,USD,39.54,25.306155008,,2022-06-03
XRAY,Dentsply Sirona,Health Care,NMS,USD,39.04,8.53441792,,2022-06-03
DVN,Devon,Energy,NYQ,USD,76.48,51.77696256,,2022-06-03
DXCM,DexCom,Health Care,NMS,USD,283.85,27.511310336,,2022-06-03
FANG,Diamondback,Energy,NMS,USD,152.89,27.699847168,,2022-06-03
DLR,Digital Realty,Real Estate,NYQ,USD,137.44,39.00368896,,2022-06-03
DFS,Discover,Financials,NYQ,USD,111.2,32.590051328,,2022-06-03
DISH,Dish,Communication Services,NMS,USD,22.18,11.728828416,,2022-06-03
DIS,Disney,Communication Services,NYQ,USD,109.19,198.470303744,,2022-06-03
DG,Dollar General,Consumer Discretionary,NYQ,USD,218.82,50.701910016,,2022-06-03
DLTR,Dollar Tree,Consumer Discretionary,NMS,USD,161.01,36.220166144,,2022-06-03
D,Dominion Energy,Utilities,NYQ,USD,83.71,67.797393408,,2022-06-03
DPZ,Domino's,Consumer Discretionary,NYQ,USD,360.85,13.1206144,,2022-06-03
DOV,Dover,Industrials,NYQ,USD,132.78,19.118327808,,2022-06-03
DOW,Dow,Materials,NYQ,USD,68.11,50.375110656,,2022-06-03
DTE,DTE,Utilities,NYQ,USD,132.56,25.680451584,,2022-06-03
DUK,Duke Energy,Utilities,NYQ,USD,111.67,85.912526848,,2022-06-03
DRE,Duke Realty,Real Estate,NYQ,USD,52.64,20.04794368,,2022-06-03
